"","Months","Customers","Churned Customers","New Customers","Net Customers","MRR","Churned MRR","New MRR","Net MRR","Total MRR","ARPA","LTV","CAC","Recover CAC","LTV/CAC"
"January",1,60,2.95789991263869,2.40678631224911,-0.55111360038958,30,1.47894995631935,1.20339315612456,-0.27555680019479,1800,45,209.511180123994,6.350659691709,0.268872523465983,32.9904593057503
"February",2,59.4488863996104,5.33585178903524,3.46741704189429,-1.86843474714096,29.7244431998052,2.66792589451762,1.73370852094714,-0.934217373570478,1767.08504707689,44.5866647997078,207.586772443994,6.350659691709,0.268872523465983,32.6874344589754
"March",3,57.5804516524695,4.29694280462056,4.62845409570332,0.331511291082756,28.7902258262347,2.14847140231028,2.31422704785166,0.165755645541378,1657.75420625119,43.1853387393521,201.062472963025,6.350659691709,0.268872523465983,31.660092450792
"April",4,57.9119629435522,10.8633678707708,5.40891757287956,-5.4544502978912,28.9559814717761,5.43168393538538,2.70445878643978,-2.7272251489456,1676.89772598768,43.4339722076642,202.220061660011,6.350659691709,0.268872523465983,31.8423709467563
"May",5,52.457512645661,8.10310468803814,1.95720897909317,-6.14589570894497,26.2287563228305,4.05155234401907,0.978604489546585,-3.07294785447249,1375.89531648484,39.3431344842458,183.173923012697,6.350659691709,0.268872523465983,28.843290603626
"June",6,46.311616936716,5.25014767350259,1.30517437998175,-3.94497329352084,23.155808468358,2.62507383675129,0.652587189990875,-1.97248664676042,1072.38293164656,34.733712702537,161.713358631029,6.350659691709,0.268872523465983,25.4640252322371
"July",7,42.3666436431952,7.74711314602605,3.10803739730265,-4.6390757487234,21.1833218215976,3.87355657301302,1.55401869865133,-2.3195378743617,897.466246794746,31.7749827323964,147.938091792976,6.350659691709,0.268872523465983,23.2949172172009
"August",8,37.7275678944718,-2.14162828192234,2.94983389200093,5.09146217392328,18.8637839472359,-1.07081414096117,1.47491694600047,2.54573108696164,711.68468961599,28.2956759208539,131.739121212982,6.350659691709,0.268872523465983,20.7441632221251
"September",9,42.8190300683951,3.50172726479169,0.909859543408532,-2.59186772138316,21.4095150341975,1.75086363239585,0.454929771704266,-1.29593386069158,916.734667999061,32.1142725512963,149.517758689904,6.350659691709,0.268872523465983,23.5436578163848
"October",10,40.2271623470119,4.40645788955945,5.41763431916315,1.0111764296037,20.113581173506,2.20322894477973,2.70881715958157,0.505588214801848,809.112295246427,30.1703717602589,140.467337606033,6.350659691709,0.268872523465983,22.1185427065818
"November",11,41.2383387766156,3.96214393121774,0.164900107568532,-3.79724382364921,20.6191693883078,1.98107196560887,0.082450053784266,-1.89862191182461,850.300292527459,30.9287540824617,143.998217057364,6.350659691709,0.268872523465983,22.6745289541114
"December",12,37.4410949529664,2.89243321966232,4.03049947074972,1.1380662510874,18.7205474764832,1.44621660983116,2.01524973537486,0.569033125543699,700.917795638523,28.0808212147248,130.738799812175,6.350659691709,0.268872523465983,20.5866486568095
