"","Months","Customers","Churned Customers","New Customers","Net Customers","MRR","Churned MRR","New MRR","Net MRR","Total MRR","ARPA","LTV","CAC","Recover CAC","LTV/CAC"
"January",1,60,-7.48135614271331,3.60753509737187,11.0888912400852,30,-3.74067807135665,1.80376754868594,5.54444562004259,1800,45,317.616987811995,34.4990482253623,0.535582947805143,9.20654348888664
"February",2,71.0888912400852,-8.2515049324872,2.12317029651694,10.3746752290041,35.5444456200426,-4.1257524662436,1.06158514825847,5.18733761450207,2526.81522887233,53.3166684300639,376.31732504284,34.4990482253623,0.535582947805143,10.9080494796429
"March",3,81.4635664690893,-10.3921881890149,3.91288605064437,14.3050742396593,40.7317832345447,-5.19609409450747,1.95644302532219,7.15253711982966,3318.15633093187,61.097674851817,431.236876638907,34.4990482253623,0.535582947805143,12.4999644576246
"April",4,95.7686407087486,-4.3524743465007,2.06815155474854,6.42062590124923,47.8843203543743,-2.17623717325035,1.03407577737427,3.21031295062462,4585.81627160069,71.8264805315615,506.962453146033,34.4990482253623,0.535582947805143,14.6949692592776
"May",5,102.189266609998,-5.6296887409992,1.42643485543385,7.05612359643305,51.0946333049989,-2.8148443704996,0.713217427716925,3.52806179821652,5221.32310514461,76.6419499574984,540.950784123074,34.4990482253623,0.535582947805143,15.680165452373
"June",6,109.245390206431,-14.9580192451122,2.50806485992385,17.466084105036,54.6226951032155,-7.47900962255608,1.25403242996193,8.733042052518,5967.27764067768,81.9340426548232,578.303196161878,34.4990482253623,0.535582947805143,16.7628739315983
"July",7,126.711474311467,-12.1638560562891,8.28320067269983,20.4470567289889,63.3557371557335,-6.08192802814453,4.14160033634991,10.2235283644944,8027.89886109277,95.0336057336002,670.761946533753,34.4990482253623,0.535582947805143,19.442911646491
"August",8,147.158531040456,5.57432941789333,12.2325669557363,6.658237537843,73.5792655202279,2.78716470894667,6.11628347786816,3.3291187689215,10827.8166289924,110.368898280342,779.000822665127,34.4990482253623,0.535582947805143,22.5803569297439
"September",9,153.816768578299,0.216539069927388,1.99807385933607,1.78153478940868,76.9083842891494,0.108269534963694,0.999036929668035,0.890767394704341,11829.799147935,115.362576433724,814.246978513568,34.4990482253623,0.535582947805143,23.602012820602
"October",10,155.598303367708,-4.51486862509282,13.3274882609944,17.8423568860872,77.7991516838538,-2.25743431254641,6.66374413049719,8.92117844304361,12105.4160054546,116.698727525781,823.677740405139,34.4990482253623,0.535582947805143,23.8753757791963
"November",11,173.440660253795,-11.7566856602239,13.2373162604762,24.9940019207,86.7203301268974,-5.87834283011193,6.61865813023808,12.49700096035,15040.8313146361,130.080495190346,918.128334565566,34.4990482253623,0.535582947805143,26.6131496894629
"December",12,198.434662174495,-1.14526055857905,0.268321612361018,1.41358217094007,99.2173310872474,-0.572630279289525,0.134160806180509,0.706791085470034,19688.1575761529,148.825996630871,1050.43699462257,34.4990482253623,0.535582947805143,30.4482891168669
