"","Months","Customers","Churned Customers","New Customers","Net Customers","MRR","Churned MRR","New MRR","Net MRR","Total MRR","ARPA","LTV","CAC","Recover CAC","LTV/CAC"
"January",1,60,-1.03429078826968,0.288609881244673,1.32290066951435,30,-0.517145394134839,0.144304940622336,0.661450334757175,1800,45,2564.0302405898,6000,163.048863202114,0.427338373431634
"February",2,61.3229006695144,3.71702458362773,8.57270047753601,4.85567589390829,30.6614503347572,1.85851229181386,4.28635023876801,2.42783794695414,1880.24907326156,45.9921755021358,2620.56286262199,6000,163.048863202114,0.436760477103665
"March",3,66.1785765634226,3.11387257117379,5.10505360380375,1.99118103262995,33.0892882817113,1.5569362855869,2.55252680190187,0.995590516314977,2189.8019979804,49.633932422567,2828.06452646339,6000,163.048863202114,0.471344087743898
"April",4,68.1697575960526,3.36264061172166,0.38099653893831,-2.98164407278335,34.0848787980263,1.68132030586083,0.190498269469155,-1.49082203639168,2323.55792535229,51.1273181970394,2913.15533283259,6000,163.048863202114,0.485525888805432
"May",5,65.1881135232692,1.64786832359237,-0.973848523225564,-2.62171684681794,32.5940567616346,0.823934161796186,-0.486924261612782,-1.31085842340897,2124.74507236132,48.8910851424519,2785.73824001106,6000,163.048863202114,0.46428970666851
"June",6,62.5663966764513,-3.61030270139828,7.04785846889472,10.658161170293,31.2831983382257,-1.80515135069914,3.52392923444736,5.3290805851465,1957.27699653753,46.9247975073385,2673.70221871931,6000,163.048863202114,0.445617036453218
"July",7,73.2245578467443,-6.32512263389513,-2.04837994366361,4.27674269023153,36.6122789233722,-3.16256131694757,-1.0241899718318,2.13837134511576,2680.9179359256,54.9184183850582,3129.16634454783,6000,163.048863202114,0.521527724091305
"August",8,77.5013005369758,5.94012299122294,1.28477665590094,-4.655346335322,38.7506502684879,2.97006149561147,0.642388327950472,-2.327673167661,3003.22579246133,58.1259754027319,3311.92797103075,6000,163.048863202114,0.551987995171791
"September",9,72.8459542016538,-0.734719268328367,3.50928969631855,4.24400896464692,36.4229771008269,-0.367359634164183,1.75464484815928,2.12200448232346,2653.26652177472,54.6344656512404,3112.98715796101,6000,163.048863202114,0.518831192993501
"October",10,77.0899631663008,-6.34396515923513,8.34410256030675,14.6880677195419,38.5449815831504,-3.17198257961756,4.17205128015338,7.34403385977094,2971.4312104908,57.8174723747256,3294.34994673915,6000,163.048863202114,0.549058324456526
"November",11,91.7780308858426,7.66362098756208,5.81677486992244,-1.84684611763965,45.8890154429213,3.83181049378104,2.90838743496122,-0.923423058819823,4211.60347664134,68.833523164382,3922.02744355143,6000,163.048863202114,0.653671240591904
"December",12,89.931184768203,0.544381781831365,1.58486077726306,1.0404789954317,44.9655923841015,0.272190890915683,0.792430388631532,0.520239497715849,4043.80899690633,67.4483885761522,3843.10462196236,6000,163.048863202114,0.640517436993727
