"","Customer Churn","Customer Growth","Customers","Churned Customers","New Customers"," Customer Change","Subscription","MRR","ARPA","LTV","CAC","Recover CAC","LTV/CAC"
"January",2.29992598388028,6.99491711560779,60,1.39943132461221,4.21460025547126,2.81516893085905,30,1800,30,3381.69510763818,79.0318343015258,5.85420994826117,52.2092689939587
"February",2.33245532492441,6.99115767989778,62.8151689308591,1.45014378762392,4.35300042367439,2.90285663605048,30,1884.45506792577,30,2671.66978751718,79.0318343015258,5.85420994826117,37.7832774255422
"March",2.29749306514579,6.98710581656561,65.7180255669095,1.54881008621289,4.59929780444087,3.05048771822798,30,1971.54076700729,30,2830.54982986297,79.0318343015258,5.85420994826117,39.632797279151
"April",2.3621631283283,6.96210469303897,68.7685132851375,1.60626536361874,4.80817307305147,3.20190770943273,30,2063.05539855413,30,2764.4537566063,79.0318343015258,5.85420994826117,35.168201807149
"May",2.35525447068124,7.01540624974151,71.9704209945702,1.6964226789397,5.03826568739274,3.34184300845304,30,2159.11262983711,30,2377.92144799999,79.0318343015258,5.85420994826117,32.6347604281787
"June",2.37163682615194,6.98666777678428,75.3122640030233,1.73568113501509,5.28074388798985,3.54506275297477,30,2259.3679200907,30,2866.00825582627,79.0318343015258,5.85420994826117,38.3669052430039
"July",2.34471557162407,7.03124076813363,78.857326755998,1.83420475200939,5.50561893432575,3.67141418231636,30,2365.71980267994,30,2669.69644118984,79.0318343015258,5.85420994826117,36.3177960816906
"August",2.31960343070885,7.01807240123716,82.5287409383144,1.9321799325046,5.7641106118181,3.8319306793135,30,2475.86222814943,30,3795.27487554922,79.0318343015258,5.85420994826117,50.4724832372861
"September",2.32278336701222,7.04531422292008,86.3606716176279,1.99931617962268,6.0617034900819,4.06238731045922,30,2590.82014852884,30,9153.32737248331,79.0318343015258,5.85420994826117,122.20962265057
"October",2.33119925243786,6.9865287598012,90.4230589280871,2.09590635793313,6.3088634707009,4.21295711276777,30,2712.69176784261,30,3490.63159487459,79.0318343015258,5.85420994826117,49.0995761222531
"November",2.30819463425279,7.0059106609835,94.6360160408549,2.19501433900388,6.60922424844579,4.41420990944191,30,2839.08048122565,30,2831.38357158444,79.0318343015258,5.85420994826117,39.6943647718426
"December",2.32750676624862,7.03038937747597,99.0502259502968,2.30769104769985,6.96443909633984,4.65674804863999,30,2971.5067785089,30,3760.60850324152,79.0318343015258,5.85420994826117,45.1163314556454
