Customer ID,Customer_State,Customer_Zipcode,Customer_Latitude,Customer_Longitude,Tableau_FK
Customer 1,California,935,18.3866,-66.0606,Blend
Customer 2,California,2215,42.3461,-71.1027,Blend
Customer 3,California,5355,43.0271,-72.8013,Blend
Customer 4,California,7418,41.2285,-74.4645,Blend
Customer 5,California,8520,40.2536,-74.5341,Blend
Customer 6,California,9060,40.7525,-74.0629,Blend
Customer 7,California,9103,40.7525,-74.0629,Blend
Customer 8,California,9213,40.7525,-74.0629,Blend
Customer 9,California,9461,40.7525,-74.0629,Blend
Customer 10,California,10048,40.712086,-71.013202,Blend
Customer 11,California,11735,40.7323,-73.4312,Blend
Customer 12,California,15213,40.4346,-79.9548,Blend
Customer 13,California,16701,41.9224,-78.7478,Blend
Customer 14,California,19110,39.9508,-75.1639,Blend
Customer 15,California,22320,38.8047,-77.047,Blend
Customer 16,California,22908,38.0328,-78.5033,Blend
Customer 17,California,28211,35.1686,-80.7968,Blend
Customer 18,California,29037,34.1913,-81.8727,Blend
Customer 19,California,29406,32.9345,-80.0381,Blend
Customer 20,California,30060,33.9226,-84.5452,Blend
Customer 21,California,30067,33.9323,-84.4619,Blend
Customer 22,California,30084,33.8524,-84.2206,Blend
Customer 23,California,30165,34.3035,-85.273,Blend
Customer 24,California,30274,33.5551,-84.4007,Blend
Customer 25,California,30322,33.7938,-84.3253,Blend
Customer 26,California,30344,33.6737,-84.4634,Blend
Customer 27,California,32960,27.6412,-80.4047,Blend
Customer 28,California,33021,26.0235,-80.1878,Blend
Customer 29,California,36207,33.6835,-85.7155,Blend
Customer 30,California,39534,30.3991,-88.9112,Blend
Customer 31,California,43449,41.5329,-83.1445,Blend
Customer 32,California,44223,41.1684,-81.5299,Blend
Customer 33,California,44305,41.0776,-81.4623,Blend
Customer 34,California,45227,39.1523,-84.3833,Blend
Customer 35,California,46214,39.791,-86.2898,Blend
Customer 36,California,60540,41.762,-88.1479,Blend
Customer 37,California,60608,41.8492,-87.6715,Blend
Customer 38,California,63637,37.7151,-90.5274,Blend
Customer 39,California,65817,37.2154,-93.2956,Blend
Customer 40,California,66045,38.9554,-95.2573,Blend
Customer 41,California,73013,35.6219,-97.4866,Blend
Customer 42,California,75234,32.9242,-96.8892,Blend
Customer 43,California,78229,29.5059,-98.5721,Blend
Customer 44,California,80014,39.6626,-104.8366,Blend
Customer 45,California,80045,39.7463,-104.8366,Blend
Customer 46,California,80110,39.6463,-105.0087,Blend
Customer 47,California,80123,39.6154,-105.0692,Blend
Customer 48,California,80524,40.6551,-105.0226,Blend
Customer 49,California,80903,38.8301,-104.8145,Blend
Customer 50,California,80909,38.8542,-104.7752,Blend
Customer 51,California,83420,44.1459,-111.3213,Blend
Customer 52,California,84087,40.9193,-112.0248,Blend
Customer 53,California,84143,40.7791,-111.8803,Blend
Customer 54,California,85032,33.6253,-112.004,Blend
Customer 55,California,87505,35.6018,-105.8856,Blend
Customer 56,California,89144,36.1793,-115.3229,Blend
Customer 57,California,90002,33.9491,-118.2468,Blend
Customer 58,California,90004,34.0762,-118.3109,Blend
Customer 59,California,90005,34.0594,-118.3098,Blend
Customer 60,California,90006,34.0485,-118.2939,Blend
Customer 61,California,90007,34.0284,-118.2856,Blend
Customer 62,California,90008,34.0097,-118.343,Blend
Customer 63,California,90010,34.0618,-118.3009,Blend
Customer 64,California,90011,34.0071,-118.2587,Blend
Customer 65,California,90012,34.0676,-118.2385,Blend
Customer 66,California,90013,34.0446,-118.2409,Blend
Customer 67,California,90015,34.0395,-118.2665,Blend
Customer 68,California,90016,34.0259,-118.3565,Blend
Customer 69,California,90017,34.053,-118.2645,Blend
Customer 70,California,90018,34.028,-118.3177,Blend
Customer 71,California,90019,34.0487,-118.3389,Blend
Customer 72,California,90020,34.066,-118.3114,Blend
Customer 73,California,90022,34.0243,-118.1562,Blend
Customer 74,California,90023,34.0232,-118.2005,Blend
Customer 75,California,90024,34.0653,-118.4373,Blend
Customer 76,California,90025,34.0454,-118.447,Blend
Customer 77,California,90026,34.0788,-118.264,Blend
Customer 78,California,90027,34.1259,-118.2924,Blend
Customer 79,California,90028,34.0998,-118.327,Blend
Customer 80,California,90029,34.0897,-118.2948,Blend
Customer 81,California,90033,34.0508,-118.211,Blend
Customer 82,California,90034,34.0308,-118.3996,Blend
Customer 83,California,90035,34.0518,-118.3841,Blend
Customer 84,California,90036,34.0702,-118.35,Blend
Customer 85,California,90037,34.003,-118.2874,Blend
Customer 86,California,90038,34.0887,-118.3268,Blend
Customer 87,California,90039,34.1118,-118.2596,Blend
Customer 88,California,90040,33.9929,-118.1512,Blend
Customer 89,California,90041,34.1381,-118.206,Blend
Customer 90,California,90042,34.1148,-118.1921,Blend
Customer 91,California,90043,33.9886,-118.3351,Blend
Customer 92,California,90044,33.9531,-118.2919,Blend
Customer 93,California,90045,33.9566,-118.3962,Blend
Customer 94,California,90046,34.1075,-118.3652,Blend
Customer 95,California,90047,33.9549,-118.3088,Blend
Customer 96,California,90048,34.0729,-118.3728,Blend
Customer 97,California,90049,34.0909,-118.4949,Blend
Customer 98,California,90050,34.1209,-118.204,Blend
Customer 99,California,90054,33.9757,-118.2564,Blend
Customer 100,California,90057,34.0624,-118.2771,Blend
Customer 101,California,90059,33.926,-118.2487,Blend
Customer 102,California,90063,34.0471,-118.1839,Blend
